siteID,lat,long
ARIK,39.758563,-102.450053
ARIK,39.758563,-102.450053
ARIK,39.758563,-102.450053
BIGC,37.058708,-119.256499
BIGC,37.058708,-119.256499
BLDE,44.951119,-110.58817
BLDE,44.951119,-110.58817
BLUE,34.446716,-96.623566
BLUE,34.446716,-96.623566
CARI,65.152538,-147.507854
CARI,65.152538,-147.507854
CARI,65.152538,-147.507854
COMO,40.03495,-105.545311
COMO,40.03495,-105.545311
COMO,40.03495,-105.545311
CUPE,18.112382,-66.986717
CUPE,18.112382,-66.986717
GUIL,18.174081,-66.79759
GUIL,18.174081,-66.79759
HOPB,42.473243,-72.330945
HOPB,42.473243,-72.330945
HOPB,42.473243,-72.330945
KING,39.104761,-96.602339
KING,39.104761,-96.602339
KING,39.104761,-96.602339
LECO,35.689128,-83.503356
LECO,35.689128,-83.503356
LECO,35.689128,-83.503356
LEWI,39.09558,-77.983069
LEWI,39.09558,-77.983069
LEWI,39.09558,-77.983069
MART,45.790818,-121.933512
MART,45.790818,-121.933512
MAYF,32.9604,-87.407856
MAYF,32.9604,-87.407856
MAYF,32.9604,-87.407856
MCDI,38.947228,-96.443842
MCDI,38.947228,-96.443842
MCDI,38.947228,-96.443842
MCRA,44.260355,-122.164627
MCRA,44.260355,-122.164627
MCRA,44.260355,-122.164627
OKSR,68.669004,-149.149952
OKSR,68.669004,-149.149952
OKSR,68.669004,-149.149952
POSE,38.894397,-78.147286
POSE,38.894397,-78.147286
POSE,38.894397,-78.147286
PRIN,33.378349,-97.783589
PRIN,33.378349,-97.783589
PRIN,33.378349,-97.783589
REDB,40.78467,-111.79566
REDB,40.78467,-111.79566
SYCA,33.751702,-111.508604
SYCA,33.751702,-111.508604
SYCA,33.751702,-111.508604
TECR,36.954707,-119.024902
TECR,36.954707,-119.024902
WALK,35.958472,-84.279343
WALK,35.958472,-84.279343
WALK,35.958472,-84.279343
WLOU,39.891259,-105.914473
WLOU,39.891259,-105.914473
WLOU,39.891259,-105.914473
