site_id,temp_mean,temp_sd,gpp,gpp_sd,mean_om,sd_om
ARIK,12,8,1728,396,5,4
BIGC,10,5,727,194,4,2
CARI,1,2,353,44,3,1
GUIL,21,2,4235,1573,3,4
HOPB,9,7,541,198,5,5
KING,12,5,1919,580,92,126
LECO,13,5,1402,387,3,1
MART,8,4,891,312,5,1
OKSR,1,3,420,256,4,2
REDB,6,4,821,326,1,2
WALK,14,3,403,40,46,NA
WLOU,2,3,351,88,19,7
LEWI,13,4,4828,823,377,418
TECR,6,5,350,182,35,21
BLUE,16,4,7925,2536,2,0
CUPE,23,1,3344,298,1,1
MCDI,13,7,1573,1205,5,8
MCRA,7,4,1719,308,7,4
POSE,12,7,250,48,12,13
PRIN,17,7,2479,557,20,23
SYCA,19,6,11957,4169,18,16
BLDE,4,5,907,270,5,4
